,Names,Personality traits,images
21,"
22. 
 Hrithik Roshan
 ",https://www.imdb.com/name/nm0000821//name/nm0438488,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR0,0,140,209_AL_.jpg"
22,"
23. 
 Jeetendra
 ",https://www.imdb.com/name/nm0000821//name/nm0451600/,"https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR5,0,140,209_AL_.jpg"
23,"
24. 
 Jimmy Sheirgill
 ",https://www.imdb.com/name/nm0000821//name/nm0451600,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY209_CR86,0,140,209_AL_.jpg"
24,"
25. 
 Kamal Haasan
 ",https://www.imdb.com/name/nm0000821//name/nm0352032/,"https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR13,0,140,209_AL_.jpg"
25,"
26. 
 Kulbhushan Kharbanda
 ",https://www.imdb.com/name/nm0000821//name/nm0352032,"https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY209_CR72,0,140,209_AL_.jpg"
26,"
27. 
 Madhavan
 ",https://www.imdb.com/name/nm0000821//name/nm0756379/,"https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY209_CR8,0,140,209_AL_.jpg"
27,"
28. 
 Manoj Bajpayee
 ",https://www.imdb.com/name/nm0000821//name/nm0756379,"https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg"
28,"
29. 
 Nana Patekar
 ",https://www.imdb.com/name/nm0000821//name/nm1442631,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg"
29,"
30. 
 Paresh Rawal
 ",https://www.imdb.com/name/nm0000821//name/nm0318783/,"https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY209_CR88,0,140,209_AL_.jpg"
30,"
31. 
 Raj Kapoor
 ",https://www.imdb.com/name/nm0000821//name/nm0318783,"https://m.media-amazon.com/images/M/MV5BNjYwODQzMjk3Ml5BMl5BanBnXkFtZTYwNzIxMjky._V1_UY209_CR9,0,140,209_AL_.jpg"
31,"
32. 
 Raj Babbar
 ",https://www.imdb.com/name/nm0000821//name/nm1224082/,"https://m.media-amazon.com/images/M/MV5BMTQ1MjEwMjM3MF5BMl5BanBnXkFtZTgwNjM4NDczMDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
32,"
33. 
 Ranbir Kapoor
 ",https://www.imdb.com/name/nm0000821//name/nm1224082,"https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
33,"
34. 
 Rishi Kapoor
 ",https://www.imdb.com/name/nm0000821//name/nm0846681/,"https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg"
34,"
35. 
 Sachin Khedekar
 ",https://www.imdb.com/name/nm0000821//name/nm0846681,"https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR7,0,140,209_AL_.jpg"
35,"
36. 
 Saeed Jaffrey
 ",https://www.imdb.com/name/nm0000821//name/nm1027719/,"https://m.media-amazon.com/images/M/MV5BMTU4NTAzNTIxMl5BMl5BanBnXkFtZTcwMjkyNzg5Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
36,"
37. 
 Sanjay Dutt
 ",https://www.imdb.com/name/nm0000821//name/nm1027719,"https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY209_CR87,0,140,209_AL_.jpg"
37,"
38. 
 Shiney Ahuja
 ",https://www.imdb.com/name/nm0000821//name/nm0015287,"https://m.media-amazon.com/images/M/MV5BNjQ1MzU1ODA0MF5BMl5BanBnXkFtZTgwMzg5MTMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
38,"
39. 
 Sunil Dutt
 ",https://www.imdb.com/name/nm0000821//name/nm0409790,"https://m.media-amazon.com/images/M/MV5BNzM0OTA3MDAxN15BMl5BanBnXkFtZTgwMzg2OTczOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
39,"
40. 
 Sunny Deol
 ",https://www.imdb.com/name/nm0000821//name/nm0439784/,"https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY209_CR3,0,140,209_AL_.jpg"
